name,features,cuisines,meals,special meals,official_description,rating,street,country,region,coords,image
A Janela da Voz do Operario,"Reservations, Outdoor Seating, Seating, Serves Alcohol, Free Wifi, Table Service, Takeout, Highchairs Available, Wine and Beer, Accepts Credit Cards, ","European, Portuguese, International, Mediterranean, ","Breakfast, Lunch, Brunch, Dinner, Drinks, ","Vegan Options, Vegetarian Friendly, ",,4.5,Rua Voz do Operario 13,Portugal,Central Portugal,"{'latitude': '38.715454', 'longitude': '-9.129023'}",https://media-cdn.tripadvisor.com/media/photo-o/19/5c/dd/a5/opciones-vegetarianas.jpg
Sao Bernardo,"Reservations, Seating, Serves Alcohol, Table Service, ","European, Portuguese, ","Lunch, Dinner, ","Vegetarian Friendly, ",,4.5,Rua da Junqueira 120,Portugal,Central Portugal,"{'latitude': '38.698715', 'longitude': '-9.187383'}",https://media-cdn.tripadvisor.com/media/photo-o/07/77/52/8d/sao-bernardo.jpg
Ela Canela,"Seating, Table Service, Reservations, Outdoor Seating, ","Healthy, European, Portuguese, ","Lunch, Brunch, Drinks, ","Vegetarian Friendly, Vegan Options, ","We Work With Local Farmers Who Privilege Seasonal And Organic Farming. With The Products They Deliver To Us We Create Our Weekly Seasonal Menu, Nutritionally Thought To Satisfy All Kind Of Diets. We Use Healthy Kitchen Principles And Processes That Preserve The Natural Properties And We Replace Processed Products, Refined Sugars And Dairy Ingredients For Ingredients From Natural Sources. All Our Dishes Are Prepared At The Moment You Request Them To Guarantee The Maximum Freshness And Quality That Our Products Deserve",4.0,Rua Azedo Gneco 74B,Portugal,Central Portugal,"{'latitude': '38.71636', 'longitude': '-9.16798'}",https://media-cdn.tripadvisor.com/media/photo-o/1b/c4/3b/8e/crepe.jpg
O Sopinhas,"Takeout, Reservations, Seating, Highchairs Available, Serves Alcohol, Full Bar, Free Wifi, Accepts Credit Cards, Table Service, ","Seafood, Mediterranean, Portuguese, ","Lunch, Dinner, ","Vegetarian Friendly, Vegan Options, Gluten Free Options, ","Hi, We are CLOSED until 25th December 2020 for vacations. We will reopening soon",4.5,"Rua da Madalena 50 Lat 38,7097 Long -9,1350",Portugal,Central Portugal,"{'latitude': '38.70953', 'longitude': '-9.134964'}",https://media-cdn.tripadvisor.com/media/photo-o/1a/a2/76/6e/sala.jpg
Iogu,,,,,,2.0,Avenida Lusiada 1500392,Portugal,Central Portugal,"{'latitude': '38.753887', 'longitude': '-9.188592'}",https://media-cdn.tripadvisor.com/media/photo-o/17/f6/7b/96/o-centro-colombo-e-um.jpg
Delhi Heat,,"Indian, ",,,,4.0,Rua da Atalaia,Portugal,Central Portugal,"{'latitude': '38.7134', 'longitude': '-9.14513'}",
Restaurante O Nortenho,"Seating, Serves Alcohol, Table Service, Reservations, Wheelchair Accessible, ","Portuguese, European, ","Lunch, Dinner, ",,,4.0,Estrada de Benfica 201 10,Portugal,Central Portugal,"{'latitude': '38.740887', 'longitude': '-9.168091'}",https://media-cdn.tripadvisor.com/media/photo-o/0d/80/39/9f/cam00907-largejpg.jpg
Nagoya - Ultimate,,,"Dinner, ",,,4.5,Avenida 5 de Outubro 70A,Portugal,Central Portugal,"{'latitude': '38.73744', 'longitude': '-9.14765'}",
Feliciano,"Delivery, Outdoor Seating, Parking Available, Street Parking, Television, Highchairs Available, Serves Alcohol, Full Bar, Wine and Beer, Accepts Mastercard, Digital Payments, Free Wifi, Reservations, Seating, Accepts Credit Cards, Table Service, ","Portuguese, European, ","Lunch, Breakfast, Dinner, ",,,4.0,Rua dos Combatentes da Grande Guerra Lote 365,Portugal,Central Portugal,"{'latitude': '38.81617', 'longitude': '-9.103211'}",https://media-cdn.tripadvisor.com/media/photo-o/0d/cc/f8/0c/pataniscas-com-arroz.jpg
Alexandre Silva no Mercado,"Takeout, Seating, Wheelchair Accessible, Serves Alcohol, ","Mediterranean, European, Portuguese, ","Lunch, Dinner, ",,,4.0,Mercado da Ribeira,Portugal,Central Portugal,"{'latitude': '38.707237', 'longitude': '-9.145911'}",https://media-cdn.tripadvisor.com/media/photo-o/13/78/01/c7/alexandre-silva-no-mercado.jpg
